iter	Logloss
0	0.6890586905
1	0.6845969854
2	0.6805189624
3	0.6765767996
4	0.673183376
5	0.6693741159
6	0.6658899181
7	0.6624052956
8	0.6577857093
9	0.6542606665
10	0.650474015
11	0.6469512929
12	0.6437864296
13	0.6404043295
14	0.6361811871
15	0.6329556154
16	0.6293509203
17	0.6263167082
18	0.6233591572
19	0.6202150017
20	0.6172468222
21	0.6148161781
22	0.6115713576
23	0.608530194
24	0.6059227053
25	0.6031779385
26	0.6004278156
27	0.5971054512
28	0.5938555455
29	0.5902868885
30	0.5882163908
31	0.5851247684
32	0.5827492773
33	0.5797905946
34	0.5775317705
35	0.5742490801
36	0.5719491917
37	0.5692716038
38	0.567174041
39	0.5646794628
40	0.5622989175
41	0.5591681417
42	0.5570307408
43	0.5546541345
44	0.5525430876
45	0.5505932813
46	0.5486959007
47	0.547092683
48	0.5448056475
49	0.5428878906
50	0.5404605554
51	0.5389189203
52	0.5371105569
53	0.5350449523
54	0.5334523926
55	0.531427215
56	0.5295321716
57	0.5273787454
58	0.5260029575
59	0.5244374696
60	0.5226938461
61	0.520760288
62	0.5191302632
63	0.517250265
64	0.5156451821
65	0.5137298459
66	0.5119672655
67	0.5102162002
68	0.5088118703
69	0.5074051422
70	0.5053505848
71	0.5035930709
72	0.5019017477
73	0.5006623449
74	0.4995192879
75	0.4984510096
76	0.4971849166
77	0.4959780136
78	0.4941916574
79	0.4930614031
80	0.4912401332
81	0.4897359016
82	0.488179204
83	0.4867480273
84	0.4852979071
85	0.4836922907
86	0.4825912475
87	0.4810430746
88	0.4800753414
89	0.4789494913
90	0.4775240679
91	0.4764730992
92	0.4757340747
93	0.4747175093
94	0.4731217221
95	0.4722321542
96	0.4708869192
97	0.4698206797
98	0.4687256933
99	0.4678079272
100	0.4668486972
101	0.4657827931
102	0.4647528063
103	0.4637503692
104	0.4629623884
105	0.4616558188
106	0.4605375974
107	0.4595963658
108	0.4585191052
109	0.4571334815
110	0.456300074
111	0.4554664689
112	0.4546619884
113	0.4536041056
114	0.4528026433
115	0.4515831109
116	0.4507959095
117	0.4499503012
118	0.4492073574
119	0.4482082318
120	0.447443486
121	0.4464147307
122	0.4457244525
123	0.4449818651
124	0.4440520178
125	0.4430661556
126	0.4420664704
127	0.4413632211
128	0.4406818525
129	0.4396791884
130	0.4387173055
131	0.4378471194
132	0.4371142841
133	0.4363572379
134	0.4355667128
135	0.4347278745
136	0.4338433265
137	0.4331261199
138	0.4323683049
139	0.4316360757
140	0.4310079994
141	0.4302476587
142	0.4295201214
143	0.4289233655
144	0.4279466871
145	0.4272884093
146	0.426590122
147	0.4256610865
148	0.4251046626
149	0.4242056339
150	0.4233599341
151	0.4229651869
152	0.4224610041
153	0.4215544419
154	0.420733441
155	0.4199466774
156	0.4191976243
157	0.4185233312
158	0.4179643748
159	0.4173340912
160	0.416460116
161	0.4157733541
162	0.4150517006
163	0.4143414271
164	0.4136361577
165	0.4130954489
166	0.4124238191
167	0.4120290612
168	0.4111965243
169	0.4104870142
170	0.4099208945
171	0.4093774934
172	0.4088430638
173	0.4080680556
174	0.4074796477
175	0.4069214255
176	0.4062863752
177	0.4056958184
178	0.4049315813
179	0.4044331613
180	0.4036764443
181	0.4032120961
182	0.4027533796
183	0.402294266
184	0.4017185483
185	0.401320838
186	0.4008497446
187	0.4003690346
188	0.3997153389
189	0.3990300957
190	0.3984614291
191	0.3980088103
192	0.3974390752
193	0.3968862272
194	0.3964697287
195	0.3960351191
196	0.395556471
197	0.3951580863
198	0.3944347121
199	0.3940027796
200	0.3934907852
201	0.393016358
202	0.3926027038
203	0.392145584
204	0.3918254915
205	0.3913020029
206	0.3907952191
207	0.39049976
208	0.3900715521
209	0.3897328633
210	0.3887905641
211	0.3884804772
212	0.3880280192
213	0.3873004841
214	0.3870632497
215	0.386359319
216	0.3858088476
217	0.385388017
218	0.3849769598
219	0.384485207
220	0.384044798
221	0.3836732814
222	0.3832592623
223	0.3824578284
224	0.3820582129
225	0.3815409573
226	0.3810811672
227	0.3808214554
228	0.3802816797
229	0.3798457926
230	0.3795986393
231	0.3790201103
232	0.378538136
233	0.3782540384
234	0.3778235342
235	0.377070451
236	0.376605276
237	0.3761992101
238	0.3757501708
239	0.3753182873
240	0.3751158746
241	0.3744881522
242	0.374318654
243	0.3738452198
244	0.373433045
245	0.3728104048
246	0.3724765338
247	0.3720438472
248	0.371752964
249	0.3712626368
250	0.3707189435
251	0.3704150774
252	0.3701816252
253	0.3699476749
254	0.3694956991
255	0.3691483336
256	0.3686417898
257	0.3680617833
258	0.3676051481
259	0.3669601451
260	0.3666323399
261	0.3661924786
262	0.3656595199
263	0.3653873551
264	0.3650055902
265	0.3645377351
266	0.3641798587
267	0.3637595315
268	0.3634455141
269	0.3628928045
270	0.3625275028
271	0.3621801162
272	0.3618229341
273	0.3615200611
274	0.3612986723
275	0.3608700556
276	0.3606069164
277	0.3603466112
278	0.3600193285
279	0.3597815939
280	0.3593683197
281	0.3590841303
282	0.3586529706
283	0.3582277386
284	0.357886847
285	0.3576374093
286	0.3574465936
287	0.3570805241
288	0.3568156355
289	0.356560537
290	0.3561621074
291	0.3557198468
292	0.3553541279
293	0.3550564992
294	0.354711824
295	0.3544947514
296	0.3540421976
297	0.3534505047
298	0.3532291666
299	0.3530515946
300	0.3526028216
301	0.3522202553
302	0.3517639143
303	0.3514969877
304	0.3513277325
305	0.3509578839
306	0.3505048332
307	0.3502521488
308	0.3500064012
309	0.3498564857
310	0.3496858327
311	0.3493288743
312	0.3491718151
313	0.3488386131
314	0.3484448347
315	0.348283779
316	0.3480535085
317	0.3478436513
318	0.3475955645
319	0.3471949551
320	0.3469417009
321	0.3466286009
322	0.3463341481
323	0.3461258901
324	0.3457694798
325	0.3455281982
326	0.3452597137
327	0.344931233
328	0.3446100212
329	0.3442626062
330	0.3440498011
331	0.3437051639
332	0.3434412833
333	0.3430895401
334	0.3427473877
335	0.3424018616
336	0.3421121843
337	0.3418579991
338	0.3415422971
339	0.3413515129
340	0.340961872
341	0.3406956803
342	0.3403467156
343	0.3398541202
344	0.3396532504
345	0.3392565739
346	0.3390638353
347	0.3388078677
348	0.3385385817
349	0.338165262
350	0.3379696238
351	0.3377904149
352	0.3376409968
353	0.3374543346
354	0.3371508751
355	0.3368826536
356	0.3365607179
357	0.3361621646
358	0.3357067643
359	0.335437245
360	0.3349106863
361	0.3346221569
362	0.3344460114
363	0.3343460316
364	0.3340112247
365	0.3335911484
366	0.3333085063
367	0.3328305003
368	0.3327129561
369	0.3325012805
370	0.3323430146
371	0.3320971727
372	0.3319089311
373	0.3314718314
374	0.3311623988
375	0.330861827
376	0.3305799542
377	0.330341505
378	0.3300076684
379	0.3296821706
380	0.3294683366
381	0.3292700761
382	0.3290305092
383	0.3288023441
384	0.3285499293
385	0.3282578685
386	0.3279455022
387	0.3277956531
388	0.327569296
389	0.3273157627
390	0.3270010784
391	0.3267003308
392	0.3265605023
393	0.3263881506
394	0.3260485323
395	0.3258903307
396	0.3256816169
397	0.3254810587
398	0.3253328208
399	0.3250556057
400	0.3247467075
401	0.3244942135
402	0.3241069452
403	0.3239220118
404	0.3235082791
405	0.323376366
406	0.3231560347
407	0.3226847713
408	0.3223333278
409	0.3221463065
410	0.3217652848
411	0.3216394151
412	0.3212937404
413	0.3212606985
414	0.3209729268
415	0.320757135
416	0.3205490859
417	0.3203227545
418	0.3201262677
419	0.3198883292
420	0.3196952239
421	0.3193646592
422	0.3191187963
423	0.3187930189
424	0.3185592737
425	0.3183441638
426	0.3178597076
427	0.317493048
428	0.3173727261
429	0.3171169719
430	0.3169808642
431	0.3168789843
432	0.3166287149
433	0.3164194597
434	0.316038412
435	0.3159548814
436	0.3157116503
437	0.3154759139
438	0.3153003909
439	0.3152026259
440	0.315120665
