iter	Passed	Remaining
0	136	136008
1	137	68829
2	139	46386
3	141	35159
4	142	28425
5	144	23954
6	146	20756
7	147	18332
8	149	16455
9	151	14950
10	152	13717
11	154	12699
12	155	11833
13	157	11083
14	158	10436
15	160	9886
16	162	9384
17	163	8940
18	165	8558
19	167	8204
20	169	7879
21	170	7579
22	171	7305
23	173	7056
24	174	6824
25	176	6621
26	178	6426
27	179	6247
28	181	6075
29	183	5917
30	184	5767
31	186	5626
32	187	5496
33	189	5371
34	190	5255
35	192	5151
36	193	5048
37	195	4952
38	197	4857
39	198	4769
40	200	4685
41	201	4604
42	203	4525
43	204	4452
44	206	4383
45	208	4327
46	210	4265
47	211	4204
48	213	4146
49	215	4088
50	216	4033
51	218	3978
52	219	3924
53	221	3873
54	222	3826
55	224	3785
56	226	3742
57	227	3700
58	229	3660
59	231	3620
60	232	3582
61	234	3545
62	235	3508
63	237	3472
64	239	3439
65	240	3409
66	242	3376
67	244	3345
68	245	3314
69	247	3285
70	248	3256
71	250	3227
72	252	3200
73	253	3173
74	255	3150
75	257	3126
76	258	3101
77	260	3077
78	261	3054
79	263	3031
80	265	3007
81	266	2984
82	267	2960
83	269	2941
84	271	2923
85	273	2906
86	275	2888
87	277	2870
88	278	2852
89	280	2834
90	281	2815
91	283	2797
92	285	2780
93	286	2766
94	289	2754
95	291	2740
96	292	2724
97	294	2707
98	295	2690
99	297	2674
100	298	2658
101	300	2643
102	302	2630
103	303	2617
104	305	2603
105	306	2588
106	308	2574
107	310	2560
108	311	2546
109	313	2532
110	314	2520
111	316	2507
112	318	2496
113	319	2485
114	321	2473
115	322	2461
116	324	2449
117	326	2437
118	327	2425
119	329	2413
120	330	2402
121	332	2392
122	334	2384
123	336	2374
124	337	2363
125	339	2353
126	340	2342
127	342	2331
128	343	2321
129	345	2311
130	347	2302
131	348	2292
132	350	2284
133	352	2274
134	353	2265
135	355	2255
136	356	2246
137	358	2237
138	359	2228
139	361	2219
140	362	2210
141	364	2202
142	366	2194
143	367	2186
144	369	2178
145	370	2169
146	372	2161
147	373	2152
148	375	2145
149	377	2137
150	378	2129
151	380	2121
152	381	2114
153	383	2107
154	385	2099
155	386	2092
156	388	2084
157	389	2077
158	391	2069
159	392	2062
160	394	2054
161	395	2047
162	397	2040
163	399	2034
164	400	2027
165	402	2020
166	403	2012
167	405	2006
168	406	2000
169	408	1995
170	410	1988
171	411	1981
172	413	1976
173	415	1970
174	416	1964
175	418	1957
176	419	1951
177	421	1945
178	422	1940
179	424	1933
180	426	1927
181	427	1921
182	429	1916
183	430	1911
184	432	1905
185	434	1899
186	435	1894
187	437	1888
188	438	1882
189	440	1876
190	441	1871
191	443	1866
192	445	1861
193	446	1856
194	448	1850
195	449	1845
196	451	1839
197	452	1834
198	454	1829
199	455	1823
200	457	1818
201	459	1813
202	460	1809
203	462	1804
204	463	1799
205	465	1794
206	467	1789
207	468	1784
208	470	1779
209	471	1774
210	473	1770
211	474	1765
212	476	1761
213	478	1756
214	479	1752
215	481	1748
216	483	1743
217	484	1739
218	486	1734
219	488	1730
220	489	1725
221	491	1721
222	493	1718
223	494	1713
224	496	1709
